"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"07/04/2021","MTNGH","0.89","0.64","0.85","0.85","0.90","0.89","0.04","0.90","","1,050,900.00","933,265.00"
"06/04/2021","MTNGH","0.85","0.64","0.85","0.85","0.85","0.85","0","0.85","0.86","43,770.00","37,204.50"
"01/04/2021","MTNGH","0.85","0.64","0.85","0.85","0.85","0.85","0","0.85","","6,573.00","5,587.05"
"31/03/2021","MTNGH","0.85","0.64","0.85","0.85","0.85","0.85","0","0.85","","0.00","0.00"
"30/03/2021","MTNGH","0.85","0.64","0.85","0.85","0.85","0.85","0","0.85","","17,100.00","14,535.00"
"29/03/2021","MTNGH","0.85","0.64","0.85","0.85","0.85","0.85","0","0.85","0.90","829,700.00","705,245.00"
"26/03/2021","MTNGH","0.85","0.64","0.85","0.85","0.85","0.85","0","0.85","0.88","110,091.00","93,577.35"
"25/03/2021","MTNGH","0.85","0.64","0.85","0.85","0.85","0.85","0","0.80","0.85","14,195.00","12,065.75"
"24/03/2021","MTNGH","0.85","0.64","0.85","0.85","0.85","0.85","0","0.85","","30,705.00","26,099.25"
"23/03/2021","MTNGH","0.85","0.64","0.85","0.85","0.85","0.85","0","0.85","","3,800.00","3,230.00"
"22/03/2021","MTNGH","0.85","0.64","0.83","0.83","0.85","0.85","0.02","0.80","0.91","177,167.00","150,085.95"
"19/03/2021","MTNGH","0.85","0.64","0.83","0.83","0.83","0.83","0","0.83","0.84","24,110.00","20,011.30"
"18/03/2021","MTNGH","0.85","0.64","0.85","0.85","0.83","0.83","-0.02","0.83","0.86","16,300.00","13,569.00"
"17/03/2021","MTNGH","0.85","0.64","0.85","0.85","0.85","0.85","0","0.85","","3,000,000.00","2,550,000.00"
"15/03/2021","MTNGH","0.84","0.64","0.84","0.84","0.84","0.84","0","0.83","0.84","1,350.00","1,134.00"
"12/03/2021","MTNGH","0.84","0.64","0.84","0.84","0.84","0.84","0","0.83","0.84","684,773.00","575,209.32"
"11/03/2021","MTNGH","0.84","0.64","0.83","0.83","0.84","0.84","0.01","0.84","","7,018,855.00","5,895,726.20"
"09/03/2021","MTNGH","0.83","0.64","0.83","0.83","0.83","0.83","0","0.83","0.91","800.00","664.00"
"05/03/2021","MTNGH","0.83","0.64","0.83","0.83","0.83","0.83","0","0.83","0.85","13,126,315.00","10,894,841.45"
"04/03/2021","MTNGH","0.83","0.64","0.83","0.83","0.83","0.83","0","0.80","0.83","4,373,520.00","3,630,021.60"
"03/03/2021","MTNGH","0.83","0.64","0.83","0.83","0.83","0.83","0","0.80","0.83","9,834,737.00","8,162,831.71"
"02/03/2021","MTNGH","0.83","0.64","0.83","0.83","0.83","0.83","0","0.80","0.83","706,100.00","585,883.00"
"01/03/2021","MTNGH","0.83","0.64","0.82","0.82","0.83","0.83","0.01","0.75","0.83","6,689,020.00","5,551,326.00"
"26/02/2021","MTNGH","0.82","0.64","0.80","0.80","0.82","0.82","0.02","0.80","0.83","461,923.00","377,538.40"
"25/02/2021","MTNGH","0.80","0.64","0.80","0.80","0.80","0.80","0","0.79","0.80","5,397.00","4,317.60"
"24/02/2021","MTNGH","0.80","0.64","0.80","0.80","0.80","0.80","0","0.79","0.80","1,751,182.00","1,400,946.00"
"23/02/2021","MTNGH","0.80","0.64","0.80","0.80","0.80","0.80","0","0.75","0.80","53,874.00","43,099.20"
"22/02/2021","MTNGH","0.80","0.64","0.80","0.80","0.80","0.80","0","0.75","0.80","1,732,060.00","1,385,648.00"
"19/02/2021","MTNGH","0.80","0.64","0.80","0.80","0.80","0.80","0","0.75","0.80","27,000.00","21,600.00"
"18/02/2021","MTNGH","0.80","0.64","0.80","0.80","0.80","0.80","0","0.80","0.81","52,432.00","41,945.60"
"17/02/2021","MTNGH","0.80","0.64","0.80","0.80","0.80","0.80","0","0.80","0.81","410,706.00","328,564.80"
"16/02/2021","MTNGH","0.80","0.64","0.80","0.80","0.80","0.80","0","0.77","0.80","423,984.00","339,187.20"
"15/02/2021","MTNGH","0.80","0.64","0.79","0.79","0.80","0.80","0.01","0.79","0.80","215,000.00","171,868.60"
"12/02/2021","MTNGH","0.79","0.64","0.75","0.75","0.80","0.79","0.04","0.77","0.80","4,200,000.00","3,318,000.00"
"11/02/2021","MTNGH","0.75","0.64","0.73","0.73","0.75","0.75","0.02","0.76","","7,796,740.00","5,854,055.00"
"10/02/2021","MTNGH","0.73","0.64","0.72","0.72","0.73","0.73","0.01","0.72","0.73","50,000.00","36,500.00"
"09/02/2021","MTNGH","0.72","0.64","0.70","0.70","0.72","0.72","0.02","0.70","","1,272,255.00","915,852.80"
"08/02/2021","MTNGH","0.70","0.64","0.70","0.70","0.70","0.70","0","","0.72","54,150.00","37,905.00"
"05/02/2021","MTNGH","0.70","0.64","0.70","0.70","0.70","0.70","0","0.70","0.72","66,150.00","46,305.00"
"03/02/2021","MTNGH","0.70","0.64","0.68","0.68","0.70","0.70","0.02","0.69","","1,997,689.00","1,393,405.41"
"02/02/2021","MTNGH","0.68","0.64","0.68","0.68","0.68","0.68","0","0.68","0.69","9,900.00","6,732.00"
"01/02/2021","MTNGH","0.68","0.64","0.68","0.68","0.68","0.68","0","0.68","0.69","143,311.00","97,474.59"
"29/01/2021","MTNGH","0.68","0.64","0.68","0.68","0.68","0.68","0","0.68","0.69","37,000.00","25,160.00"
"28/01/2021","MTNGH","0.68","0.64","0.68","0.68","0.68","0.68","0","0.68","0.69","245,141.00","166,695.88"
"27/01/2021","MTNGH","0.68","0.64","0.68","0.68","0.68","0.68","0","0.66","0.68","1,259,785.00","856,653.80"
"26/01/2021","MTNGH","0.68","0.64","0.68","0.68","0.68","0.68","0","0.65","0.68","56,207.00","38,220.76"
"25/01/2021","MTNGH","0.68","0.64","0.68","0.68","0.68","0.68","0","0.66","0.68","32,200.00","21,896.00"
"22/01/2021","MTNGH","0.68","0.64","0.68","0.68","0.68","0.68","0","0.66","0.68","1,232,500.00","838,100.00"
"21/01/2021","MTNGH","0.68","0.64","0.67","0.67","0.68","0.68","0.01","0.66","0.68","1,333,464.00","906,552.31"
"20/01/2021","MTNGH","0.67","0.64","0.66","0.66","0.67","0.67","0.01","0.65","0.68","2,300,450.00","1,541,185.50"
"19/01/2021","MTNGH","0.66","0.64","0.66","0.66","0.66","0.66","0","0.65","0.67","57,855.00","38,184.30"
