"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"02/06/2011","TOTAL","17.31","10.00","17.31","17.31","17.31","17.31","0","17.37","","0.00",""
"01/06/2011","TOTAL","17.31","10.00","17.31","17.31","17.31","17.31","0","17.52","","0.00",""
"31/05/2011","TOTAL","17.31","10.00","17.31","17.31","17.31","17.31","0","","","0.00",""
"30/05/2011","TOTAL","17.31","10.00","17.31","17.31","17.31","17.31","0","17.37","","0.00",""
"27/05/2011","TOTAL","17.31","10.00","17.31","17.31","17.31","17.31","0","17.37","","0.00",""
"26/05/2011","TOTAL","17.31","10.00","17.31","17.31","17.31","17.31","0","17.36","","0.00",""
"24/05/2011","TOTAL","17.31","10.00","17.31","17.31","17.31","17.31","0","17.37","","0.00",""
"23/05/2011","TOTAL","17.31","10.00","17.31","17.31","17.31","17.31","0","17.30","","0.00",""
"20/05/2011","TOTAL","17.31","10.00","17.20","17.20","17.31","17.31","0.11","17.36","","200.00",""
"19/05/2011","TOTAL","17.17","10.00","17.20","17.20","17.20","17.20","0","17.31","","0.00",""
"18/05/2011","TOTAL","17.17","10.00","17.20","17.20","17.20","17.20","0","17.32","","0.00",""
"17/05/2011","TOTAL","17.17","10.00","17.20","17.20","17.20","17.20","0","17.22","","0.00",""
"16/05/2011","TOTAL","17.17","10.00","17.17","17.17","17.20","17.20","0.03","17.29","","500.00",""
"13/05/2011","TOTAL","17.17","10.00","17.02","17.02","17.17","17.17","0.15","17.22","","100.00",""
"12/05/2011","TOTAL","17.02","10.00","16.90","16.90","17.02","17.02","0.12","17.15","","200.00",""
"11/05/2011","TOTAL","17.02","10.00","16.90","16.90","16.90","16.90","0","17.02","","0.00",""
"10/05/2011","TOTAL","17.02","10.00","16.90","16.90","16.90","16.90","0","17.00","","0.00",""
"09/05/2011","TOTAL","17.02","10.00","16.79","16.79","16.90","16.90","0.11","16.90","","1,800.00",""
"06/05/2011","TOTAL","17.02","10.00","16.79","16.79","16.79","16.79","0","17.00","","0.00",""
"05/05/2011","TOTAL","17.02","10.00","16.35","16.35","17.00","16.79","0.44","16.79","","300.00",""
"04/05/2011","TOTAL","17.02","10.00","16.35","16.35","16.35","16.35","0","16.35","","0.00",""
"03/05/2011","TOTAL","17.02","10.00","16.34","16.34","16.35","16.35","0.01","16.35","","200.00",""
"29/04/2011","TOTAL","17.02","10.00","16.32","16.32","16.34","16.34","0.02","16.40","","100.00",""
"28/04/2011","TOTAL","17.02","10.00","16.32","16.32","16.32","16.32","0","16.35","","0.00",""
"27/04/2011","TOTAL","17.02","10.00","16.32","16.32","16.32","16.32","0","16.33","","0.00",""
"26/04/2011","TOTAL","17.02","10.00","16.32","16.32","16.32","16.32","0","16.32","","0.00",""
"21/04/2011","TOTAL","17.02","10.00","16.32","16.32","16.32","16.32","0","16.30","","0.00",""
